id;name;phone;mail
1;Assistant;(624) 872-1664;Security
2;SQL;526.801.4991 x5975;scale Rubber
3;Ball full-range;(891) 917-4928 x9402;copying Handcrafted Ergonomic
4;withdrawal;(928) 423-8586 x0772;Compatible Small
5;Chicken Account Dollar;641.229.1736 x8690;invoice
6;COM connect;(683) 212-2770 x8151;architectures Georgia
7;override;(708) 338-8654 x069;Dam Liaison overriding
8;technologies;1-224-960-4948;Virtual channels invoice
9;gold high-level;496-410-1271 x06729;Concrete wireless
10;Kids Open-source parsing;(764) 998-6618 x754;withdrawal Chief system-worthy
