id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Oda;Medhurst;Misty94@yahoo.com;Data Baby Funk;2023-08-14T09:02:03;9012;14280
2;Corrine;Smitham;Eleazar_Erdman85@hotmail.com;Euro;2023-08-14T21:49:40;25923;1562
3;Marty;Huels;Maxwell.Ernser@yahoo.com;microchip area;2023-08-14T17:51:42;20479;22884
4;Favian;Kub;Cristina.Reichert45@hotmail.com;perspiciatis Borders;2023-08-15T03:31:17;26203;17407
5;Johan;Fisher;Brenna54@yahoo.com;Pound East;2023-08-15T06:15:41;10188;20492
6;Marc;Jast;Annie4@gmail.com;optical compressing Administrator;2023-08-14T10:13:35;23610;15199
7;Deon;Schmidt;Hilda.Upton21@gmail.com;compressing backing Outdoors;2023-08-15T05:30:38;12711;26973
8;Delia;Cummings;Cecile.Kohler9@hotmail.com;white;2023-08-14T09:00:29;5801;31053
9;Lolita;Steuber;Gretchen_Feil26@yahoo.com;willfully;2023-08-15T05:51:58;6814;4196
10;Adriel;Pollich;Clementina88@hotmail.com;disintermediate invoice undertake;2023-08-15T07:28:15;15896;15286
